Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Samoa,WS,Apia,"Samojčan, Samojčanka",samojský,tala,Oceania,1,-13.816666666666665,-171.76666699999998
San Maríno,SM,San Maríno,"Sanmarínčan, Sanmarínčanka",sanmarínsky,euro,Europe,2,43.93333333333333,12.416667
Saudská Arábia,SA,Rijád,"Saudskoarab, Saudskoarabka",saudskoarabský,saudský rijal,Asia,6,24.65,46.7
Senegal,SN,Dakar,"Senegalčan, Senegalčanka",senegalský,frank CFA,Africa,5,14.733333333333333,-17.633333
Severná Kórea,KP,Pchjongjang,"Severokórejčan, Severokórejčanka",severokórejský,severokórejský won,Asia,6,39.016666666666666,125.75
Severné Macedónsko,MK,Skopje,Macedónčan/občan Severomacedónskej republiky,"zo Severomacedónskej republiky, zo Severného Macedónska",denár,Europe,2,42.0,21.433332999999998
Severné Macedónsko,MK,Skopje,Macedónčan/občan Severomacedónskej republiky,macedónsky,denár,Europe,2,42.0,21.433332999999998
Seychely,SC,Victoria,"Seychelčan, Seychelčanka",seychelský,seychelská rupia,Africa,5,-4.616666666666667,55.45
Sierra Leone,SL,Freetown,"Sierraleončan, Sierraleončanka",sierraleonský,leone,Africa,5,8.483333333333333,-13.233332999999998
Singapur,SG,Singapur,"Singapurčan, Singapurčanka",singapurský,singapurský dolár,Asia,6,1.2833333333333332,103.85
Slovensko,SK,Bratislava,"Slovák, Slovenka",slovenský,euro,Europe,2,48.15,17.116667
Slovinsko,SI,Ľubľana,"Slovinec, Slovinka",slovinský,euro,Europe,2,46.05,14.516667000000002
Somálsko,SO,Mogadišo,"Somálčan, Somálčanka",somálsky,somálsky šiling,Africa,5,2.066666666666667,45.333333
Spojené arabské emiráty,AE,Abú Zabí,"obyvateľ, obyvateľka Spojených arabských emirátov",zo Spojených arabských emirátov,dirham SAE,Asia,6,24.466666666666665,54.36666700000001
Spojené kráľovstvo,UK,Londýn,"Brit, Britka",britský,libra šterlingov,Europe,2,51.5,-0.083333
